config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
Wet1.0PtO,5,27.043869229936565,58.524805045734865,56.057633746618485,65.76892149097958,68.38742633046284,71.00593116994611,broad/smooth
Naf0.75PtO,5,26.721839012773454,67.5394535147573,67.32097647563283,70.14033798201402,70.25670698565344,70.37307598929284,broad/smooth
Close0.75Pt,7,26.102824069944045,71.46089769463082,71.61245801747641,77.98235463245865,79.3242310239694,80.66610741548016,broad/smooth
inputptn0.375_optimised_structure,1,25.78499058396515,67.42944454647188,67.42944454647188,67.42944454647188,67.42944454647188,67.42944454647188,broad/smooth
Wet1.0Pt,2,25.527330023457115,53.17832753860177,53.17832753860177,54.815604187156424,55.02026376822576,55.22492334929509,broad/smooth
Close0.375PtOH2,4,25.495342617782818,71.80421594098202,71.79031952989975,78.11706043045005,79.43142315281175,80.74578587517345,broad/smooth
Wet0.25PtO,6,25.2525711524116,56.37943667511445,58.28152990050596,63.36626246770361,63.947611901934394,64.52896133616518,broad/smooth
Wet0.375PtO2,7,25.203432297246216,54.79496543675951,50.207919891181405,65.26429607289361,75.11062976499352,84.95696345709348,broad/smooth
Wet1.0PtOH2,5,25.06054013078072,52.46903578871206,51.645808665105335,55.523036348298916,55.81612371485391,56.109211081408894,broad/smooth
Close0.75PtO,6,25.06047663763253,77.08052380380722,74.45219727506759,83.19267484536827,83.45850346307185,83.72433208077544,broad/smooth
Close0.75PtO2,5,24.81985257224655,73.89139766139405,76.38878326044971,77.68427203513222,77.9422591972283,78.20024635932437,broad/smooth
FORCED_Naf1.0PtO2_neb_img07,1,24.645114155902128,116.07018704370367,116.07018704370367,116.07018704370367,116.07018704370367,116.07018704370367,broad/smooth
FORCED_Pt_particle_4_1,1,24.227107729484494,33.092016033244654,33.092016033244654,33.092016033244654,33.092016033244654,33.092016033244654,broad/smooth
FORCED_Wet0.375Pt_neb_img10,1,24.10209777087032,55.07422960158083,55.07422960158083,55.07422960158083,55.07422960158083,55.07422960158083,broad/smooth
fps_naf_naf_pt_framesv1_recalibrated,9,23.569835509129696,74.35531421897065,75.94098075454453,82.76367817316323,82.99250688109672,83.2213355890302,broad/smooth
