config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
Naf1.0PtO2,12,8.83053261313029,70.93943389910459,46.17267232908153
Naf1.0PtOH,13,8.240392785377749,69.22330421351415,43.44811244859611
Naf1.0PtOH2,2,4.892475139899136,68.84440777566357,44.87917576231886
Nafion_four_dry_initial,2,10.434600301604643,135.46027199402866,12.107058924026095
Pt4_Chair4x4_initial,4,6.575918881108642,57.12406744554093,3.4090103101088243
Pt4_SW_CO2Chair4x4_initial,2,13.80030767083656,208.33249770377725,13.595444474656794
PtGraph10*7_initial,5,4.090695958350588,61.14121165823634,3.879020508158571
PtHemGraph20*10_initial,1,8.94698160078633,51.3789094886961,2.9527749650222845
PtNafSO3product_initial,1,31.96164637029142,114.18260822613928,10.554435458727147
PtNaf_initial,1,19.007494939614844,105.48638732497805,10.877355800432113
PtOso3_chair_initial,8,14.232772633002389,94.13474364758278,6.427929615355179
PtOso3sol_chair_initial,19,8.021572397517948,77.564174072165,5.941891846468555
PtSWoxo_initial,6,7.502369325109885,90.477667184438,6.142893252673536
Pt_exp_Chair_initial,1,5.498754336485945,59.54284790887448,4.052321556482755
Pt_oxi_Chair_initial,2,11.321630733902854,65.34839525457444,4.4245185432307
Pt_vac_Chair_initial,3,1.062355826519132,70.39602795497692,4.444199842178451
Ptcluster_Chair_initial,2,3.2279320845123194,69.87266858699826,4.8408613207799664
Ptparticle_oxi_so3_chari_initial,9,7.871408281663561,70.66151939949903,4.782186172729114
Wet0.0Pt,4,3.1760926101152025,46.570830471388135,29.767984001603885
Wet0.25Pt,5,2.508870304103646,47.83563891766937,26.784351262286958
Wet0.25PtO,6,5.393022239563958,56.78773969953012,24.542454302661618
Wet0.25PtOH,2,10.449444778707987,57.66710376560215,17.119010245663336
Wet0.25PtOH2,2,4.148594642494824,53.616155137190056,36.353588526855326
Wet0.375Pt,1,6.812365893438255,49.19963222477426,28.510430748630068
Wet0.375PtO,3,6.8184934239486905,52.827798781232076,16.860792270234814
Wet0.375PtO2,7,5.490557046653377,56.18511031130268,23.21621687430254
Wet0.375PtOH,5,5.0962144636558335,54.719370921181614,31.440030210741696
Wet0.375PtOH2,2,3.352457395701381,52.49071302761586,20.555022883670244
Wet1.0Pt,2,5.800543640453026,53.217696396842456,25.552520146816637
Wet1.0PtO,5,6.7232028453833586,58.87720811320655,26.097348258214506
Wet1.0PtO2,4,11.425907013316918,58.1811757584935,20.665101553889535
Wet1.0PtOH,2,5.439796868652713,67.51292776322177,34.407059769744784
Wet1.0PtOH2,5,7.7742744087769395,52.530651226766416,24.682600011389045
Zig4x4sat_sol_initial,9,4.190975698143476,70.3512019529784,5.428550903922416
bot_dryo.375_pos_1,10,7.67298596005127,63.40619350155685,49.66114661819249
bulk_water_Pt,20,9.292724551172098,44.65397078542911,6.272351325636378
finalo2v_optimised_structure,1,6.848057344313929,57.096145639201865,73.37995870865619
finalv_optimised_structure,1,5.559292995940268,69.33232132066081,51.60569093609433
finoh0.75_optimised_structure,1,9.474295012296352,68.50393461750215,64.51183423466958
finoh20.75_optimised_structure,1,5.041856328830363,64.1629665629115,56.08713344798324
finoh2v_optimised_structure,1,6.44220900039727,58.75990207507272,62.117748149799375
finohv_optimised_structure,1,6.905330785002661,57.06468601103667,61.949160044491336
finov_optimised_structure,1,8.023524550139882,62.63454000082407,42.53261722838992
finv0.75_optimised_structure,1,5.8585696134514365,68.62223370217235,59.96307071928737
